id,label,group,size,x,y
1,Linux,Core,135,-0.0007072798231610681,0.016690032559090046
2,Slurm,Scheduler,124,0.023555827725503374,0.16801222149260236
3,Python,Language,82,0.09537215394805258,-0.13789638453884967
4,Bash,Language,76,0.10305344038523072,-0.30301387246313066
5,Kubernetes,Orchestration,67,-0.16165261867912326,-0.11447661466626712
6,InfiniBand,Network,66,-0.029277788257468594,0.32482770094692437
7,HPC,Core,59,0.18086727385098453,0.07936361159165517
8,CUDA,GPU,55,-0.24477651657264093,0.03049054589406983
9,MPI,Parallel,52,0.3063083890041166,-0.031268660360762965
10,Lustre,Storage,51,0.2853825793808915,0.26778283456457364
11,Ansible,Automation,48,-0.07760015160996597,-0.2727796423381356
12,Docker,Container,45,-0.3612335446254146,-0.13072061658148207
13,GPU,Hardware,41,-0.17414907463499993,0.16241378860332248
14,GPFS,Storage,31,-0.29260368153837424,0.4639072928352319
15,OpenMP,Parallel,29,0.3749746504723243,-0.22071078627259272
16,Ethernet,Network,28,0.1847957138275213,0.43716077707436
17,RDMA,Network,26,-0.15992424504604488,0.5392952989975277
18,PBS,Scheduler,25,0.10439313771894815,0.6094115114583526
19,C++,Language,24,0.289120988054456,-0.47234333107571613
20,Networking,Network,23,0.6053933558548424,0.036794751112321715
21,Terraform,Automation,22,-0.216698008349638,-0.4073726414366538
22,Storage,Storage,22,-0.11262646564620453,0.7476247142983786
23,Puppet,Automation,21,-0.6351225889171411,0.16808733520079266
24,LSF,Scheduler,20,0.3905643028184438,0.641155633920719
25,NCCL,GPU,20,-0.46307079576100046,0.19523406388381692
26,Cluster,Core,20,0.6632800448163466,0.24634326516829094
27,C,Language,19,0.6683260900944658,-0.28842106166680087
28,RoCE,Network,18,0.05784133859112831,0.8456759407621954
29,Git,DevOps,18,-0.42756997608733455,-0.4913646588743747
30,Prometheus,Monitoring,18,-0.7580974182370418,-0.052942710383485775
31,AI/ML,AI,18,-0.16680067181873087,-0.5866061709913019
32,Grafana,Monitoring,17,-0.6394319794110218,-0.5138284740843441
33,Java,Language,16,-0.9702254131446048,0.02280371601868053
34,NVLink,Hardware,16,-0.5620638850267037,0.5861677298486417
35,Torque,Scheduler,15,-0.40407665801114184,0.8659187432431569
36,Go,Language,15,0.42860435339319186,-0.7974205670198969
37,Monitoring,Monitoring,15,-0.7990385903535291,0.3907332379075222
38,Performance Optimization,Core,15,0.5275946926997845,0.42421979203099397
39,Automation,Automation,14,0.04046110556779338,-0.719615202678075
40,Perl,Language,13,0.23856797055765772,-0.9999999999999999
41,Fortran,Language,13,0.8630879815018315,-0.551770484022588
42,KVM,Virtualization,13,-0.17823431855398547,-0.958848521159596
43,Cloud,Cloud,13,-0.6456273330028174,-0.2530240159740244
44,Weka,Storage,12,0.3534272590187244,0.9621448749193757
45,Salt,Automation,12,0.5600945403313623,-0.6177891248615215
46,Podman,Container,12,-0.8990526681948372,-0.41348307801494005
47,BeeGFS,Storage,12,0.7112686777064772,0.7323111536757132
48,NFS,Storage,11,0.9237384090559083,0.01309021814380398
49,Containerization,Container,11,0.9142953786184649,0.266611123522485
50,Jenkins,DevOps,10,-0.5147079836915214,-0.9085752902100498
